Person,Contribution,Creator_role,Notes
Alfonso Reyes,"""Culto a Mallarmé""",AU,
Ramón Gómez de la Serna,"""La idea y la ciudad""",AU,
Julio Irazusta,"""Una opinión de Santayana sobre el testimonio filosóficos de Proust"" (notas)",AU,
Pedro Henríquez Ureña,"""Palabras pronunciadas en el acto inaugural del Primer Congreso Gremial de Escritores"" (notas)",AU,
Francisco Romero,"""Pérdida y recuperación del sujeto en Husserl"" (notas)",AU,
Silvina Ocampo,"""La siesta en el cedro""",AU,
Attilio Rossi,"""XXVI Salón anual de Artes Plásticas. La escultura. Domingo Pronsato"" (notas)",AU,
H. Siccardi,"""'Giulio Cesare' no tiene influencia strawinskiana (música)"" (notas)",AU,
Arnaud Dandieu,"""Marcel Proust (III - La psicología de la metáfora acción sagrada)""",AU,
Maximilian Beck," ""Consecuencias éticas de la teoría del conocimiento"" ",AU,
Jorge Luis Borges,"""Insomnio""",AU,
Jorge Luis Borges,"""Film and Theatre"" (notas)",AU,
Gervasio Guillot Muñoz,"""La agudeza disoviativa de Henri Michaux"" (notas)",AU,
Bernardo Canal Feijóo,"""'Einfühlung' e Historia de Arte"" (notas)",AU,
Attilio Rossi,"""Exposición de pintores argentinos en la Galería Moody. Cesáreo Bernaldo."" (notas)",AU,
Jacques Maritain,"""Conferencia de Jacques Maritain a propósito de la 'Carta sobre la independencia'""",AU,
Arnaud Dandieu,"""Marcel Proust (IV y último - la pérdida progresiva del sentido de lo real en Proust)""",AU,
Emile Gouiran,"""Prolegómenos a una filosofía de la existencia. La crisis del pensamiento occidental""",AU,
Julien Benda,"""La cuestión de la 'Élite'"" (notas)",AU,
León Chestov,"""Iasnaia Poliana y Astapovo - Tolstoi filósofo""",AU,
Jorge Luis Borges,"""Letras Españolas: Inmortalidad de Unamuno"" (notas)",AU,
Guillermo de Torre,"""Unamuno o el rescate de la paradoja""",AU,
Ramón Gómez de la Serna,"""Silueta de Macedonio Fernández"" (notas)",AU,
Francisco Romero,"""Actualidad de la ontología"" (notas)",AU,
Emile Gouiran,"""Prolegómenos a una filosofía de la existencia. II. Orden social y orden de la existencia""",AU,
Julio J. Casal,"""Poemas"" (JJC)",AU,
Aníbal Sánchez Reulet,"""Alejandro Korn"" (notas)",AU,
José Bergamín,"""La máscara de la sangre - tiempo y drama""",AU,
Victoria Ocampo,"""Divergencias (cine)"" (notas)",AU,
T. S. Eliot,"""Rapsodia de una noche ventosa""",AU,
Guillermo de Torre,"""La fácil nostalgia"" (notas)",AU,
Raimundo Lida,"""La música y su sombra"" (notas)",AU,
Ramón Gómez de la Serna,"""Sobre la torre de marfil""",AU,
Aldous Huxley,"""Un capítulo de 'Eyeless in Gaza'"" (1)",AU,
Gervasio Guillot Muñoz,"""Letras Francesas. Un enriquecimiento de la crítica contemporánea. A propósito de 'Histoire de la littérature fraçaise' por Albert Thibaudet"" (notas)",AU,
Eduardo González Lanuza,"""A una música ya otra vez vivida""",AU,
Julio Rinaldini,"""En torno a una exposición de arte 'Abstracto'"" (notas)",AU,
Emile Gouiran,"""Prolegomenos a una filosofía de la existencia. III y último - orden personal y orden existencial""",AU,
Emil Ludwig,"""Sobre la grandeza""",AU,
E. G. (¿?),"""Homenaje a Paul Claudel"" (notas)",AU,
Ezequiel Martinez Estrada,"""Horacio Quiroga"" (notas)",AU,
Guillermo de Torre,"""Literatura individual frente a literatura dirigida""",AU,
Guillermo de Torre,"""Letras Francesas. Disciplina y deliete de Julien Benda"" (notas)",AU,
Aldous Huxley,"""Un capítulo de 'Eyeless in Gaza'"" (2)",AU,
Eduardo Mallea,"""Rossi en Buenos Aires"" (notas)",AU,
Maurice Edgar Coindreau,"""Panorama de la actual literatura joven norteamericana""",AU,
Alfred Metraux,"""El problema de la civilización""",AU,
Attilio Rossi,"""De Buenos Aires a la capital aqrueológica de Sud América""",AU,
H. Siccardi,"""Jean de Bremaeker (música)"" (notas)",AU,
